date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-01-22,72.0799,72.5542,70.9471,72.1099,114978192,16425456,0.681428,0.954,71.6831,"Jan 22, 13",0
2013-01-23,72.6871,73.5699,72.1099,73.4292,208417125,29773875,1.3193,1.83,71.8632,"Jan 23, 13",0.018295684781146532
2013-01-24,65.7142,66.5328,64.3214,64.3571,364815136,52116448,-9.0721,-12.355,65.3822,"Jan 24, 13",-0.10751367010632373
2013-01-25,64.5271,65.1756,62.1428,62.8399,301770994,43110142,-1.5171,-2.357,63.5746,"Jan 25, 13",-0.12855377694324907
2013-01-28,62.5464,64.7442,62.2657,64.2614,195942705,27991815,1.4214,2.262,64.0217,"Jan 28, 13",-0.10884081103981565
2013-01-29,65.4999,65.7428,64.5885,65.4671,142550345,20364335,1.2057,1.876,65.3123,"Jan 29, 13",-0.09212049940438129
2013-01-30,65.2856,66.0856,64.9285,65.2614,104194146,14884878,-0.205714,-0.314,65.5514,"Jan 30, 13",-0.09497308968671433
2013-01-31,65.2828,65.6114,64.9971,65.0699,79689617,11384231,-0.191428,-0.293,65.2104,"Jan 31, 13",-0.0976287583258331
2013-02-01,65.5871,65.6399,64.0499,64.8028,134747767,19249681,-0.267143,-0.411,64.7387,"Feb 1, 13",-0.10133282669924645
2013-02-04,64.8442,65.1342,63.1428,63.1879,119139426,17019918,-1.6149,-2.492,63.9138,"Feb 4, 13",-0.12372780991236984
2013-02-05,63.4357,65.6771,63.1742,65.4062,143056116,20436588,2.2183,3.511,64.6534,"Feb 5, 13",-0.09296504363478521
2013-02-06,65.2099,66.6428,64.6542,65.3356,148135645,21162235,-0.070571,-0.108,65.626,"Feb 6, 13",-0.09394410476231414
2013-02-07,66.1785,67.1428,64.8742,66.8885,175690998,25098714,1.5529,2.377,65.8571,"Feb 7, 13",-0.07240892027308321
2013-02-08,67.7142,68.4014,66.8928,67.8542,158168416,22595488,0.965713,1.444,67.8573,"Feb 8, 13",-0.059016861762393104
2013-02-11,68.0714,69.2771,67.6071,68.5614,129029425,18432775,0.707142,1.042,68.6973,"Feb 11, 13",-0.04920960922147986
2013-02-12,68.5014,68.9114,66.8205,66.8428,151829363,21689909,-1.7186,-2.507,67.5763,"Feb 12, 13",-0.07304267513891989
2013-02-13,66.7442,67.6628,66.1742,66.7156,118721995,16960285,-0.127143,-0.19,66.8816,"Feb 13, 13",-0.0748066492950344
2013-02-14,66.3599,67.3771,66.2885,66.6556,88809154,12687022,-0.06,-0.09,66.8217,"Feb 14, 13",-0.07563871257622032
2013-02-15,66.9785,67.1656,65.7028,65.7371,97924631,13989233,-0.918571,-1.378,66.3402,"Feb 15, 13",-0.08837621463904399
2013-02-19,65.8714,66.1042,64.8356,65.7128,108854046,15550578,-0.024286,-0.037,65.4266,"Feb 19, 13",-0.08871320026792431
2013-02-20,65.3842,65.3842,64.1142,64.1214,118891367,16984481,-1.5914,-2.422,64.5551,"Feb 20, 13",-0.11078229202924983
2013-02-21,63.7142,64.1671,63.2599,63.7228,111596821,15942403,-0.398571,-0.622,63.7067,"Feb 21, 13",-0.11630996576059593
2013-02-22,64.1785,64.5142,63.7999,64.4014,82583823,11797689,0.678571,1.065,64.1509,"Feb 22, 13",-0.10689933005038145
2013-02-25,64.8356,65.0171,63.2242,63.2571,92899597,13271371,-1.1443,-1.777,64.1948,"Feb 25, 13",-0.12276816359473519
2013-02-26,63.4028,64.5056,62.5228,64.1385,125096657,17870951,0.881428,1.393,63.4631,"Feb 26, 13",-0.11054515399411181
2013-02-27,64.0614,64.6342,62.9499,63.5099,146674682,20953526,-0.628571,-0.98,63.7902,"Feb 27, 13",-0.11926240363667118
2013-02-28,63.4357,63.9814,63.0571,63.0571,80532382,11504626,-0.452857,-0.713,63.5064,"Feb 28, 13",-0.12554170786535548
2013-03-01,62.5714,62.5971,61.4257,61.4957,137899041,19699863,-1.5614,-2.476,61.9008,"Mar 1, 13",-0.14719476798608785
2013-03-04,61.1142,61.1714,59.8571,60.0071,145406366,20772338,-1.4886,-2.421,60.4793,"Mar 4, 13",-0.16783825799231444
2013-03-05,60.2114,62.1699,60.1071,61.5919,159298020,22756860,1.5849,2.641,61.3354,"Mar 5, 13",-0.14586069319191947
2013-03-06,62.0728,62.1785,60.6328,60.8088,114903180,16414740,-0.783142,-1.272,61.1082,"Mar 6, 13",-0.15672050578353316
2013-03-07,60.6428,61.7157,60.1514,61.5117,116992841,16713263,0.702856,1.156,60.9832,"Mar 7, 13",-0.14697288444443826
2013-03-08,61.3999,62.2042,61.2299,61.6742,97854442,13979206,0.162571,0.264,61.7134,"Mar 8, 13",-0.14471937972455928
2013-03-11,61.3928,62.7157,60.7342,62.5528,118272126,16896018,0.878571,1.425,61.7792,"Mar 11, 13",-0.1325351997437245
2013-03-12,62.2285,62.6971,61.0814,61.2042,116268341,16609763,-1.3486,-2.156,61.7188,"Mar 12, 13",-0.15123720876051688
2013-03-13,61.2071,62.0714,60.7657,61.1928,101369051,14481293,-0.011429,-0.019,61.45,"Mar 13, 13",-0.15139530078394225
2013-03-14,61.8328,62.0914,61.4928,61.7857,75834906,10833558,0.592857,0.969,61.7869,"Mar 14, 13",-0.1431731287936885
2013-03-15,62.5614,63.4614,62.4642,63.3799,160710606,22958658,1.5943,2.58,62.9961,"Mar 15, 13",-0.12106520741257439
2013-03-18,63.0642,65.3514,63.0285,65.1028,150441144,21491592,1.7229,2.718,64.482,"Mar 18, 13",-0.0971725102933161
2013-03-19,65.6428,65.8528,64.0714,64.9271,131531708,18790244,-0.175714,-0.27,64.8579,"Mar 19, 13",-0.09960906893505608
2013-03-20,65.3456,65.3756,64.2271,64.5828,77016849,11002407,-0.344285,-0.53,64.597,"Mar 20, 13",-0.10438372539692872
2013-03-21,64.3171,65.4256,64.2999,64.6756,95493524,13641932,0.092857,0.144,64.8765,"Mar 21, 13",-0.10309680085536096
2013-03-22,64.9399,66.0142,64.7299,65.9871,98570591,14081513,1.3114,2.028,65.5525,"Mar 22, 13",-0.08490928430076866
2013-03-25,66.3842,67.1356,65.9685,66.2256,125073165,17867595,0.238571,0.362,66.4855,"Mar 25, 13",-0.08160183275805398
2013-03-26,66.4914,66.5485,65.7899,65.8765,73428208,10489744,-0.349143,-0.527,66.0477,"Mar 26, 13",-0.08644305428242174
2013-03-27,65.2085,65.2571,64.3899,64.5828,81854409,11693487,-1.2937,-1.964,64.7511,"Mar 27, 13",-0.10438372539692872
2013-03-28,64.2599,64.5455,63.0885,63.2371,110698007,15814001,-1.3457,-2.084,63.6219,"Mar 28, 13",-0.12304551802179726
2013-04-01,63.1285,63.3854,61.1057,61.2728,97294421,13899203,-1.9643,-3.106,62.0248,"Apr 1, 13",-0.15028588307569418
2013-04-02,61.0857,62.5914,60.9142,61.3988,132350022,18907146,0.126,0.206,61.7993,"Apr 2, 13",-0.14853855018520334
2013-04-03,61.6242,62.4685,61.4728,61.7128,90719482,12959926,0.314,0.511,61.9313,"Apr 3, 13",-0.14418408568032953
2013-04-04,61.9657,62.1428,60.7499,61.1028,89589332,12798476,-0.609999,-0.988,61.2095,"Apr 4, 13",-0.15264339570572133
2013-04-05,60.6428,60.7071,59.9542,60.4571,95743088,13677584,-0.645714,-1.057,60.3646,"Apr 5, 13",-0.16159778338341893
2013-04-08,60.6928,61.0714,60.3557,60.8871,75169647,10738521,0.43,0.711,60.7219,"Apr 8, 13",-0.15563466320158537
2013-04-09,60.9085,61.2142,60.3928,60.9971,76615504,10945072,0.11,0.181,60.7924,"Apr 9, 13",-0.15410921385274412
2013-04-10,61.1571,62.4371,60.8585,62.2414,93895844,13413692,1.2443,2.04,61.8425,"Apr 10, 13",-0.13685360817308023
2013-04-11,61.9599,62.5699,61.5999,62.0471,82073628,11724804,-0.194286,-0.312,62.0549,"Apr 11, 13",-0.13954810643198778
2013-04-12,62.0214,62.0214,61.2985,61.3999,59651011,8521573,-0.647142,-1.043,61.5367,"Apr 12, 13",-0.14852329569171493
2013-04-15,60.9999,61.1271,59.9357,59.9785,79157071,11308153,-1.4214,-2.315,60.4133,"Apr 15, 13",-0.1682348748230132
2013-04-16,60.2242,60.9442,60.0814,60.8914,76222076,10888868,0.912856,1.522,60.5711,"Apr 16, 13",-0.15557503199976702
2013-04-17,60.0385,60.0857,56.8728,57.5428,236138966,33734138,-3.3486,-5.499,58.0121,"Apr 17, 13",-0.202012483722762
2013-04-18,57.8557,57.9699,55.6774,56.0071,166438048,23776864,-1.5357,-2.669,56.4903,"Apr 18, 13",-0.2233091434047197
2013-04-19,55.4242,57.0857,55.0142,55.7899,152194413,21742059,-0.217143,-0.388,56.1535,"Apr 19, 13",-0.22632121248261325
2013-04-22,56.0914,57.4571,55.8964,56.9528,107338322,15334046,1.1629,2.084,56.6839,"Apr 22, 13",-0.21019443932109175
2013-04-23,57.7128,58.3401,56.9728,58.0185,160760747,22965821,1.0657,1.871,58.2855,"Apr 23, 13",-0.1954156086750917
2013-04-24,56.2199,59.3214,56.0714,57.9231,242387530,34626790,-0.095428,-0.164,57.668,"Apr 24, 13",-0.1967385892921776
2013-04-25,58.7464,59.1342,58.1428,58.3399,95984896,13712128,0.416857,0.72,58.5532,"Apr 25, 13",-0.19095852303220495
2013-04-26,58.5442,59.8241,58.3214,59.6007,191006032,27286576,1.2607,2.161,59.2424,"Apr 26, 13",-0.1734740999502148
2013-04-29,60.0642,61.9452,59.9999,61.4457,159958876,22851268,1.845,3.096,61.2941,"Apr 29, 13",-0.1478881540537429
2013-04-30,62.1571,63.6071,61.7242,63.2542,172737600,24676800,1.8086,2.943,62.8118,"Apr 30, 13",-0.12280837998665924
2013-05-01,63.4942,63.5614,62.0557,62.7557,126720237,18102891,-0.498571,-0.788,62.7498,"May 1, 13",-0.12972143908118025
2013-05-02,63.1114,64.0842,62.9471,63.6457,105449078,15064154,0.889999,1.418,63.796,"May 2, 13",-0.11737916707692007
2013-05-03,64.4728,64.7471,64.1642,64.2828,90319201,12902743,0.637142,1.001,64.4227,"May 3, 13",-0.10854404180285927
2013-05-06,65.1014,66.0285,64.9014,65.8156,124017747,17716821,1.5329,2.385,65.6861,"May 6, 13",-0.08728759851282547
