Year,Month,CrudePalmOil ,SoyabeanOil ,GroundnutOil ,SunflowerOil ,RapeseedOil ,CoconutOil ,FishOil ,Tallow ,Lard 
2006,Jan,424.00,532.00,930.00,591.00,733.00,569.00,750.00,445.00,407.00
2006,Feb,445.00,535.00,921.00,595.00,723.00,591.00,761.00,430.00,405.00
2006,Mar,440.00,539.00,902.00,606.00,742.00,575.00,807.00,410.00,431.00
2006,Apr,439.00,540.00,899.00,659.00,796.00,578.00,840.00,394.00,437.00
2006,May,440.00,588.00,892.00,679.00,838.00,583.00,841.00,408.00,447.00
2006,Jun,437.00,601.00,824.00,666.00,822.00,575.00,835.00,404.00,454.00
2006,Jul,471.00,630.00,928.00,647.00,822.00,583.00,824.00,434.00,484.00
2006,Aug,510.00,629.00,944.00,666.00,812.00,606.00,828.00,462.00,501.00
2006,Sep,497.00,602.00,965.00,670.00,785.00,608.00,821.00,454.00,543.00
2006,Oct,507.00,615.00,1068.00,666.00,781.00,626.00,808.00,461.00,659.00
2006,Nov,547.00,675.00,1120.00,722.00,814.00,656.00,806.00,516.00,648.00
2006,Dec,583.00,699.00,1174.00,730.00,856.00,732.00,820.00,560.00,614.00
2007,Jan,599.00,697.00,1180.00,719.00,818.00,731.00,865.00,570.00,583.00
2007,Feb,605.00,714.00,1173.00,709.00,781.00,763.00,888.00,556.00,526.00
2007,Mar,622.00,718.00,1160.00,713.00,765.00,769.00,894.00,564.00,555.00
2007,Apr,710.00,761.00,1202.00,755.00,799.00,828.00,915.00,628.00,560.00
2007,May,772.00,788.00,1159.00,831.00,825.00,894.00,916.00,737.00,563.00
2007,Jun,807.00,831.00,1207.00,916.00,858.00,981.00,893.00,823.00,539.00
2007,Jul,811.00,885.00,1342.00,999.00,921.00,929.00,905.00,808.00,569.00
2007,Aug,821.00,909.00,1404.00,1114.00,955.00,910.00,938.00,731.00,595.00
2007,Sep,835.00,959.00,1445.00,1279.00,1051.00,930.00,966.00,736.00,720.00
2007,Oct,881.00,1012.00,1463.00,1358.00,1195.00,1010.00,1083.00,783.00,837.00
2007,Nov,952.00,1139.00,1686.00,1400.00,1274.00,1131.00,1295.00,822.00,898.00
2007,Dec,950.00,1164.00,1777.00,1469.00,1386.00,1153.00,1463.00,758.00,898.00
2008,Jan,1059.00,1276.00,1861.00,1709.00,1428.00,1285.00,1550.00,854.00,930.00
2008,Feb,1178.00,1426.00,2000.00,1839.00,1445.00,1398.00,1588.00,935.00,903.00
2008,Mar,1249.00,1476.00,2203.00,1863.00,1519.00,1471.00,1719.00,1020.00,944.00
2008,Apr,1174.00,1425.00,2200.00,1838.00,1469.00,1443.00,1800.00,990.00,994.00
2008,May,1208.00,1436.00,2318.00,1962.00,1510.00,1502.00,1781.00,1039.00,1071.00
2008,Jun,1213.00,1537.00,0.00,2045.00,1577.00,1551.00,1808.00,1118.00,1237.00
2008,Jul,1128.00,1511.00,1850.00,1692.00,1540.00,1436.00,1815.00,1137.00,1392.00
2008,Aug,884.00,1323.00,2370.00,1309.00,1367.00,1189.00,1775.00,960.00,1165.00
2008,Sep,771.00,1226.00,2341.00,1176.00,1238.00,1110.00,1663.00,938.00,1095.00
2008,Oct,545.00,928.00,2118.00,950.00,1053.00,866.00,1320.00,708.00,1005.00
2008,Nov,488.00,824.00,1772.00,835.00,991.00,719.00,1106.00,466.00,786.00
2008,Dec,503.00,738.00,1436.00,759.00,836.00,740.00,983.00,456.00,670.00
2009,Jan,562.00,791.00,1343.00,817.00,817.00,734.00,910.00,585.00,541.00
2009,Feb,572.00,748.00,1293.00,805.00,760.00,673.00,775.00,551.00,529.00
2009,Mar,598.00,727.00,1214.00,757.00,709.00,625.00,691.00,480.00,580.00
2009,Apr,700.00,800.00,1188.00,842.00,805.00,747.00,620.00,600.00,598.00
2009,May,801.00,892.00,1157.00,941.00,928.00,843.00,681.00,730.00,645.00
2009,Jun,726.00,896.00,1154.00,907.00,920.00,747.00,794.00,743.00,727.00
2009,Jul,639.00,836.00,1149.00,804.00,845.00,685.00,792.00,664.00,766.00
2009,Aug,723.00,886.00,1131.00,820.00,887.00,747.00,785.00,808.00,788.00
2009,Sep,674.00,846.00,1120.00,809.00,857.00,701.00,800.00,841.00,824.00
2009,Oct,680.00,897.00,1148.00,846.00,896.00,706.00,815.00,680.00,787.00
2009,Nov,725.00,931.00,1116.00,921.00,928.00,729.00,886.00,733.00,848.00
2009,Dec,791.00,933.00,1187.00,986.00,945.00,767.00,924.00,754.00,781.00
2010,Jan,795.00,924.00,1314.00,969.00,917.00,785.00,926.00,738.00,697.00
2010,Feb,798.00,915.00,1380.00,948.00,894.00,795.00,888.00,750.00,670.00
2010,Mar,832.00,920.00,1380.00,956.00,896.00,928.00,950.00,838.00,729.00
2010,Apr,830.00,902.00,1360.00,924.00,909.00,940.00,1090.00,853.00,718.00
2010,May,811.00,865.00,1353.00,910.00,864.00,932.00,1175.00,861.00,699.00
2010,Jun,798.00,859.00,1342.00,889.00,880.00,993.00,981.00,858.00,705.00
2010,Jul,807.00,907.00,1300.00,937.00,946.00,1031.00,1015.00,816.00,737.00
2010,Aug,905.00,1002.00,1334.00,1074.00,1013.00,1170.00,1100.00,838.00,771.00
2010,Sep,912.00,1042.00,1262.00,1114.00,1037.00,1275.00,1175.00,851.00,822.00
2010,Oct,984.00,1154.00,1331.00,1277.00,1154.00,1411.00,1238.00,896.00,972.00
2010,Nov,1109.00,1141.00,1728.00,1441.00,1249.00,1512.00,1363.00,1063.00,954.00
2010,Dec,1229.00,1232.00,1753.00,1454.00,1396.00,1715.00,1555.00,1159.00,983.00
2011,Jan,1281.00,1374.00,1788.00,1492.00,1447.00,2038.00,1725.00,1223.00,1042.00
2011,Feb,1292.00,1365.00,1730.00,1456.00,1402.00,2256.00,1763.00,1223.00,1069.00
2011,Mar,1180.00,1307.00,1650.00,1389.00,1414.00,1925.00,1665.00,1203.00,1117.00
2011,Apr,1149.00,1314.00,1680.00,1405.00,1450.00,2088.00,1267.00,1252.00,1148.00
2011,May,1159.00,1294.00,1894.00,1411.00,1412.00,2097.00,1380.00,1284.00,1139.00
2011,Jun,1133.00,1324.00,1980.00,1461.00,1410.00,1803.00,1470.00,1353.00,1134.00
2011,Jul,1088.00,1337.00,2120.00,1433.00,1391.00,1663.00,1525.00,1363.00,1172.00
2011,Aug,1083.00,1330.00,0.00,1327.00,1363.00,1454.00,1542.00,1270.00,1238.00
2011,Sep,1068.00,1309.00,0.00,0.00,1316.00,1310.00,1605.00,1220.00,1193.00
2011,Oct,994.00,1220.00,0.00,0.00,1275.00,1208.00,1525.00,1161.00,1145.00
2011,Nov,1053.00,1217.00,2225.00,1248.00,1290.00,1479.00,1538.00,1110.00,1207.00
2011,Dec,1026.00,1203.00,0.00,1189.00,1252.00,1439.00,1465.00,1205.00,1181.00
2012,Jan,1061.00,1218.00,0.00,1208.00,1257.00,1451.00,1506.00,1145.00,1079.00
